--------------
Thu Apr 25 22:16:20 2024 TW Stock List
--------------
2347.TW, Close: 77.10, RSI(talib): 61.65
2603.TW, Close: 181.00, RSI(talib): 60.63
2317.TW, Close: 151.50, RSI(talib): 65.20
2637.TW, Close: 67.10, RSI(talib): 62.25
--------------
8105.TW failed ('NoneType' object has no attribute 'text').
6456.TW failed ('NoneType' object has no attribute 'text').
1451.TW failed ('NoneType' object has no attribute 'text').
3022.TW failed ('NoneType' object has no attribute 'text').
4977.TW failed ('NoneType' object has no attribute 'text').
4746.TW failed ('NoneType' object has no attribute 'text').
4148.TW failed ('NoneType' object has no attribute 'text').
2332.TW failed ('NoneType' object has no attribute 'text').
3686.TW failed ('NoneType' object has no attribute 'text').
1721.TW failed ('NoneType' object has no attribute 'text').
2534.TW failed ('NoneType' object has no attribute 'text').
1517.TW failed ('NoneType' object has no attribute 'text').
4536.TW failed ('NoneType' object has no attribute 'text').
6550.TW failed ('NoneType' object has no attribute 'text').
1526.TW failed ('NoneType' object has no attribute 'text').
3043.TW failed ('NoneType' object has no attribute 'text').
6117.TW failed ('NoneType' object has no attribute 'text').
4989.TW failed ('NoneType' object has no attribute 'text').
1447.TW failed ('NoneType' object has no attribute 'text').
2375.TW failed ('NoneType' object has no attribute 'text').
8926.TW failed ('NoneType' object has no attribute 'text').
3454.TW failed ('NoneType' object has no attribute 'text').
2302.TW failed ('NoneType' object has no attribute 'text').
3591.TW failed ('NoneType' object has no attribute 'text').
1906.TW failed ('NoneType' object has no attribute 'text').
1536.TW failed ('NoneType' object has no attribute 'text').
9939.TW failed ('NoneType' object has no attribute 'text').
3027.TW failed ('NoneType' object has no attribute 'text').
2439.TW failed ('NoneType' object has no attribute 'text').
6581.TW failed ('NoneType' object has no attribute 'text').
3029.TW failed ('NoneType' object has no attribute 'text').
2420.TW failed ('NoneType' object has no attribute 'text').
6197.TW failed ('NoneType' object has no attribute 'text').
8222.TW failed ('NoneType' object has no attribute 'text').
3380.TW failed ('NoneType' object has no attribute 'text').
3515.TW failed ('NoneType' object has no attribute 'text').
6438.TW failed ('NoneType' object has no attribute 'text').
1736.TW failed ('NoneType' object has no attribute 'text').
3024.TW failed ('NoneType' object has no attribute 'text').
2485.TW failed ('NoneType' object has no attribute 'text').
2483.TW failed ('NoneType' object has no attribute 'text').
9105.TW failed ('NoneType' object has no attribute 'text').
3346.TW failed ('NoneType' object has no attribute 'text').
2231.TW failed ('NoneType' object has no attribute 'text').
4967.TW failed ('NoneType' object has no attribute 'text').
3046.TW failed ('NoneType' object has no attribute 'text').
5225.TW failed ('NoneType' object has no attribute 'text').
3025.TW failed ('NoneType' object has no attribute 'text').
1337.TW failed ('NoneType' object has no attribute 'text').
1519.TW failed ('NoneType' object has no attribute 'text').
2387.TW failed ('NoneType' object has no attribute 'text').
2441.TW failed ('NoneType' object has no attribute 'text').
5522.TW failed ('NoneType' object has no attribute 'text').
4763.TW failed ('NoneType' object has no attribute 'text').
2727.TW failed ('NoneType' object has no attribute 'text').
1504.TW failed ('NoneType' object has no attribute 'text').
4720.TW failed ('NoneType' object has no attribute 'text').
2748.TW failed ('NoneType' object has no attribute 'text').
6442.TW failed ('NoneType' object has no attribute 'text').
2753.TW failed ('NoneType' object has no attribute 'text').
1532.TW failed ('NoneType' object has no attribute 'text').
2102.TW failed ('NoneType' object has no attribute 'text').
2530.TW failed ('NoneType' object has no attribute 'text').
3305.TW failed ('NoneType' object has no attribute 'text').
1529.TW failed ('NoneType' object has no attribute 'text').
1434.TW failed ('NoneType' object has no attribute 'text').
6592.TW failed ('NoneType' object has no attribute 'text').
1449.TW failed ('NoneType' object has no attribute 'text').
1905.TW failed ('NoneType' object has no attribute 'text').
